,Date,Investment,Gain,Avg_duration,Compound_Return
0,2020-09-10,0,0.0,0.0,0.0
1,2020-09-11,0,0.0,0.0,0.0
2,2020-09-14,0,0.0,0.0,0.0
3,2020-09-15,0,0.0,0.0,0.0
4,2020-09-16,0,0.0,0.0,0.0
5,2020-09-17,0,0.0,0.0,0.0
6,2020-09-18,0,0.0,0.0,0.0
7,2020-09-21,100000,0.017389500000004773,1.0,6.347167500001742
8,2020-09-22,100000,-0.8440515000000015,2.0,-154.0393987500003
9,2020-09-23,100000,-1.0378534999999975,3.0,-126.27217583333304
10,2020-09-24,100000,-3.9386604999999983,4.0,-359.40277062499985
11,2020-09-25,100000,-1.7632774999999965,5.0,-128.71925749999974
12,2020-09-28,100000,-0.1870804999999964,6.0,-11.380730416666447
13,2020-09-29,100000,-0.23286400000000138,7.0,-12.142194285714357
14,2020-09-30,100000,-0.00928049999999348,8.0,-0.42342281249970254
15,2020-10-01,100000,1.4966855000000068,9.0,60.69891194444472
16,2020-10-05,100000,2.2647815000000118,10.0,82.66452475000042
17,2020-10-06,100000,3.6787360000000047,11.0,122.06714909090924
18,2020-10-07,100000,4.358376500000013,12.0,132.56728520833371
19,2020-10-08,100000,5.209594000000012,13.0,146.26937000000032
20,2020-10-09,100000,5.917238000000012,14.0,154.27084785714314
21,2020-10-12,100000,6.0661455000000135,15.0,147.60954050000035
22,2020-10-13,100000,6.097705000000002,16.0,139.10389531250004
23,2020-10-14,100000,6.4226345,17.0,137.89774073529412
24,2020-10-15,100000,3.8383115000000108,18.0,77.8324276388891
25,2020-10-16,100000,4.568180500000016,19.0,87.75715171052663
26,2020-10-19,100000,5.551414499999999,20.0,101.31331462499999
27,2020-10-20,100000,5.762551999999996,21.0,100.15864190476184
28,2020-10-21,100000,6.125708500000008,22.0,101.63107284090921
29,2020-10-22,100000,5.759440500000011,23.0,91.39981663043496
30,2020-10-23,100000,6.0608115000000105,24.0,92.17484156250016
31,2020-10-26,100000,4.6152975000000005,25.0,67.38334350000001
32,2020-10-27,100000,5.696766000000003,26.0,79.97383038461543
33,2020-10-28,100000,4.276144000000015,27.0,57.80713185185205
34,2020-10-29,100000,3.753411999999997,28.0,48.92840642857139
35,2020-10-30,100000,3.5009360000000016,29.0,44.06350482758623
36,2020-11-02,100000,3.738743499999997,30.0,45.48804591666663
37,2020-11-03,100000,5.022015000000014,31.0,59.13017661290339
38,2020-11-04,100000,5.866565000000002,32.0,66.91550703125003
39,2020-11-05,100000,7.7494670000000045,33.0,85.71380166666671
40,2020-11-06,100000,9.022959499999997,34.0,96.86412404411762
41,2020-11-09,100000,10.778734500000006,35.0,112.4068026428572
42,2020-11-10,100000,12.290479000000007,36.0,124.61180097222228
43,2020-11-11,100000,13.33994350000001,37.0,131.59673993243254
44,2020-11-12,100000,12.821212,38.0,123.15111526315789
45,2020-11-13,100000,13.080355500000021,39.0,122.41871173076943
46,2020-11-14,100000,13.6164225,40.0,124.24985531249999
47,2020-11-17,100000,14.451638000000022,41.0,128.65482609756117
48,2020-11-18,100000,15.021042500000009,42.0,130.54001220238104
49,2020-11-19,100000,13.540413000000015,43.0,114.93606383720943
50,2020-11-20,100000,14.316954500000007,44.0,118.76564528409095
51,2020-11-23,100000,14.916140500000008,45.0,120.9864729444445
52,2020-11-24,100000,16.060283500000004,46.0,127.43485820652177
53,2020-11-25,100000,14.311176000000007,47.0,111.1399838297873
54,2020-11-26,100000,15.454430000000007,48.0,117.51806145833338
55,2020-11-27,100000,15.29396550000002,49.0,113.92443688775525
56,2020-12-01,100000,16.539454500000005,50.0,120.73801785000003
