,Date,Investment,Gain,Avg_duration,DailyInvestment,Gain_amount,Compound_Return
0,2020-09-10,0,0.0,0.0,0,0.0,0.0
1,2020-09-11,0,0.0,0.0,0,0.0,0.0
2,2020-09-14,0,0.0,0.0,0,0.0,0.0
3,2020-09-15,0,0.0,0.0,0,0.0,0.0
4,2020-09-16,0,0.0,0.0,0,0.0,0.0
5,2020-09-17,0,0.0,0.0,0,0.0,0.0
6,2020-09-18,0,0.0,0.0,0,0.0,0.0
7,2020-09-21,0,0.0,0.0,0,0.0,0.0
8,2020-09-22,0,0.0,0.0,0,0.0,0.0
9,2020-09-23,0,0.0,0.0,0,0.0,0.0
10,2020-09-24,0,0.0,0.0,0,0.0,0.0
11,2020-09-25,0,0.0,0.0,0,0.0,0.0
12,2020-09-28,0,0.0,0.0,0,0.0,0.0
13,2020-09-29,0,0.0,0.0,0,0.0,0.0
14,2020-09-30,0,0.0,0.0,0,0.0,0.0
15,2020-10-01,0,0.0,0.0,0,0.0,0.0
16,2020-10-05,0,0.0,0.0,0,0.0,0.0
17,2020-10-06,0,0.0,0.0,0,0.0,0.0
18,2020-10-07,0,0.0,0.0,0,0.0,0.0
19,2020-10-08,0,0.0,0.0,0,0.0,0.0
20,2020-10-09,0,0.0,0.0,0,0.0,0.0
21,2020-10-12,0,0.0,0.0,0,0.0,0.0
22,2020-10-13,0,0.0,0.0,0,0.0,0.0
23,2020-10-14,0,0.0,0.0,0,0.0,0.0
24,2020-10-15,0,0.0,0.0,0,0.0,0.0
25,2020-10-16,0,0.0,0.0,0,0.0,0.0
26,2020-10-19,0,0.0,0.0,0,0.0,0.0
27,2020-10-20,0,0.0,0.0,0,0.0,0.0
28,2020-10-21,0,0.0,0.0,0,0.0,0.0
29,2020-10-22,0,0.0,0.0,0,0.0,0.0
30,2020-10-23,0,0.0,0.0,0,0.0,0.0
31,2020-10-26,0,0.0,0.0,0,0.0,0.0
32,2020-10-27,0,0.0,0.0,0,0.0,0.0
33,2020-10-28,0,0.0,0.0,0,0.0,0.0
34,2020-10-29,0,0.0,0.0,0,0.0,0.0
35,2020-10-30,0,0.0,0.0,0,0.0,0.0
36,2020-11-02,0,0.0,0.0,0,0.0,0.0
37,2020-11-03,0,0.0,0.0,0,0.0,0.0
38,2020-11-04,0,0.0,0.0,0,0.0,0.0
39,2020-11-05,0,0.0,0.0,0,0.0,0.0
40,2020-11-06,0,0.0,0.0,0,0.0,0.0
41,2020-11-09,0,0.0,0.0,0,0.0,0.0
42,2020-11-10,0,0.0,0.0,0,0.0,0.0
43,2020-11-11,0,0.0,0.0,0,0.0,0.0
